Area,Year,CO2 intensity,Clean,Demand,Demand per capita,Fossil,Gas,Gas and Other Fossil,Hydro,"Hydro, Bioenergy and Other Renewables",Net Imports,Renewables,Solar,Total Generation,Total emissions,Wind and Solar,CO2 intensity_log,CO2 intensity_log_diff,Clean_log,Clean_log_diff,Demand_log,Demand_log_diff,Demand per capita_log,Demand per capita_log_diff,Fossil_log,Fossil_log_diff,Gas_diff,Gas and Other Fossil_log,Gas and Other Fossil_log_diff,Hydro_log,Hydro_log_diff,"Hydro, Bioenergy and Other Renewables_log","Hydro, Bioenergy and Other Renewables_log_diff",Net Imports_diff,Renewables_log,Renewables_log_diff,Total Generation_log,Total Generation_log_diff,Total emissions_log,Total emissions_log_diff,Demand_lag1,Demand_lag2,Demand_lag3,Demand_rolling_mean,Demand_rolling_std,Demand_diff,Fossil_to_Renewables,Demand_growth
Algeria,2018,632.7,0.6325,76.66,1.8,60.495000000000005,59.8125,60.495000000000005,0.1275,0.1275,-0.09,0.6325,0.4975,76.75,48.56,0.505,6.449996376152838,-0.0022891433606,-0.4580750583804618,0.1862819580100514,4.339380059952409,0.0122056768266771,0.5877866649021191,-0.0110498361865849,4.102560716993441,0.00717503026293,0.3974999999999937,4.102560716993441,0.00717503026293,-2.059638914383656,0.3209077200801014,-2.059638914383656,0.3209077200801014,0.25,-0.4580750583804618,0.1862819580100514,4.340553386467307,0.0088994174580969,3.8828001467512423,0.0066115943323126,75.73,70.79,68.81,74.39333333333333,3.155033016203219,0.9299999999999926,95.64426875958195,0.012280470091112994
Algeria,2019,632.77,0.6425,81.47,1.88,63.1075,62.4675,63.1075,0.14,0.14,-0.14,0.6425,0.495,81.61,51.64,0.5025,6.450107006985765,0.0001106308329266,-0.4423884622127622,0.0156865961676995,4.400234854322551,0.060854794370142,0.6312717768418578,0.0434851119397386,4.1448396214380425,0.0422789044446014,2.655000000000001,4.1448396214380425,0.0422789044446014,-1.9661128563728327,0.0935260580108232,-1.9661128563728327,0.0935260580108232,-0.05,-0.4423884622127622,0.0156865961676995,4.401951803481151,0.0613984170138444,3.944296565978442,0.0614964192271991,76.66,75.73,70.79,77.95333333333333,3.0808169912106815,4.810000000000002,98.22178986798106,0.0627445864857814
Algeria,2020,632.61,0.6525,79.31,1.8,62.2525,61.6,62.2525,0.08,0.08,-0.06,0.6525,0.5650000000000001,79.37,50.21,0.5725,6.4498541185240335,-0.0002528884617314,-0.4269441397852886,0.0154443224274736,4.373364224095228,-0.0268706302273225,0.5877866649021191,-0.0434851119397386,4.13119869518097,-0.0136409262570724,-0.8674999999999997,4.13119869518097,-0.0136409262570724,-2.525728644308256,-0.5596157879354229,-2.525728644308256,-0.5596157879354229,0.08,-0.4269441397852886,0.0154443224274736,4.374120463102784,-0.0278313403783672,3.916214210046614,-0.0280823559318279,81.47,76.66,75.73,79.14666666666666,2.4091561454858943,-2.1599999999999966,95.4061302535776,-0.026512826807413736
Algeria,2021,633.53,0.575,84.45,1.89,65.28999999999999,64.64,65.28999999999999,0.0375,0.0375,-1.15,0.575,0.53,85.6,54.23,0.5375,6.451307354598894,0.0014532360748606,-0.5533852381847867,-0.126441098399498,4.436159643253809,0.0627954191585811,0.636576829071551,0.0487901641694319,4.178838885198542,0.0476401900175718,3.039999999999999,4.178838885198542,0.0476401900175718,-3.283414346005772,-0.7576857016975165,-3.283414346005772,-0.7576857016975165,-1.09,-0.5533852381847867,-0.126441098399498,4.449685283147696,0.0755648200449119,3.993234260852969,0.0770200508063552,79.31,81.47,76.66,81.74333333333334,2.5808784034379677,5.140000000000001,113.54782606720907,0.06480897743033665
Algeria,2022,633.65,0.6074999999999999,88.9,1.96,68.155,67.495,68.155,0.0425,0.0425,-2.57,0.6074999999999999,0.5575,91.47,57.96,0.565,6.451496751528073,0.000189396929179,-0.4984031037674336,0.054982134417353,4.487512142519859,0.0513524992660494,0.6729444732424258,0.0363676441708747,4.221784523022806,0.042945637824264,2.855000000000004,4.221784523022806,0.042945637824264,-3.158251203051766,0.1251631429540061,-3.158251203051766,0.1251631429540061,-1.42,-0.4984031037674336,0.054982134417353,4.516011049668273,0.0663257665205767,4.059753117452481,0.066518856599512,84.45,79.31,81.47,84.22000000000001,4.799135338787522,4.450000000000003,112.18930039305528,0.052693901716992286
Algeria,2023,633.65,0.6224999999999999,94.02,2.04,70.1125,69.46000000000001,70.1125,0.0425,0.0425,-2.28,0.6224999999999999,0.5675,96.3,61.02,0.58,6.451496751528073,0.0,-0.4740116506432744,0.0243914531241591,4.5435075255959845,0.0559953830761257,0.712949807856125,0.0400053346136992,4.250101094834455,0.0283165718116489,1.9650000000000036,4.250101094834455,0.0283165718116489,-3.158251203051766,0.0,-3.158251203051766,0.0,0.29,-0.4740116506432744,0.0243914531241591,4.56746831880408,0.051457269135807,4.111201679288524,0.0514485618360422,88.9,84.45,79.31,89.12333333333333,4.788907321439052,5.11999999999999,112.63052207026016,0.057592800899887386
Austria,2000,203.39,32.5175,58.27,7.27,14.2625,6.3325,8.545,31.1475,32.4575,-1.37,32.5175,0.0,59.64,12.13,0.06,5.315125318197404,-1.1363714333306696,3.4817784059557586,3.955790056599033,4.065087381154983,-0.4784201444410012,1.983756291545428,1.2708064836893027,2.657633715188194,-1.5924673796462607,-63.12750000000001,2.1453463165675544,-2.1047547782669005,3.4387339851908814,6.596985188242647,3.479931541252271,6.6381827443040375,0.9099999999999996,3.4817784059557586,3.955790056599033,4.088326489896538,-0.479141828907542,2.495681722955959,-1.6155199563325646,94.02,88.9,84.45,80.39666666666668,19.332501993620294,-35.74999999999999,0.4386099792405978,-0.3802382471814507
Austria,2001,229.09,31.3375,61.2,7.61,16.365,7.074999999999999,9.6775,29.8525,31.245,0.22,31.3375,0.01,60.98,13.97,0.0925,5.434114939445257,0.1189896212478531,3.444815463484412,-0.0369629424713466,4.11414718951828,0.0490598083632969,2.0294631718735947,0.0457068803281668,2.795144907953144,0.1375111927649497,0.7424999999999997,2.2698036034696663,0.1244572869021118,3.3962685884254027,-0.0424653967654786,3.4418593633810453,-0.0380721778712258,1.59,3.444815463484412,-0.0369629424713466,4.110545941560109,0.0222194516635712,2.6369121732688705,0.1412304503129116,58.27,94.02,88.9,71.16333333333334,19.848592729292744,2.9299999999999997,0.5222177901858086,0.050283164578685424
Austria,2002,226.13,31.18,61.33,7.59,16.345,7.529999999999999,9.9,29.76,31.05,0.7,31.18,0.01,60.63,13.71,0.13,5.421110055134903,-0.0130048843103542,3.43977686362963,-0.0050385998547812,4.116269119637892,0.0021219301196122,2.0268315914075385,-0.0026315804660561,2.7939220401761737,-0.0012228677769701,0.455,2.292534757140544,0.0227311536708776,3.393165209964891,-0.0031033784605116,3.435598808379488,-0.0062605550015573,0.48,3.43977686362963,-0.0050385998547812,4.10478982008364,-0.0057561214764696,2.6181254935742237,-0.0187866796946472,61.2,58.27,94.02,60.26666666666667,1.730385313545287,0.12999999999999545,0.5242142398956888,0.00212418300653594
Austria,2003,282.39,27.5125,63.58,7.83,20.29,9.2925,12.0325,25.7075,27.1675,5.61,27.5125,0.0125,57.97,16.37,0.345,5.643289094227239,0.2221790390923361,3.31464044685258,-0.1251364167770505,4.152298955482657,0.0360298358447641,2.057962510002712,0.0311309185951733,3.010128153837724,0.2162061136615496,1.762500000000001,2.4876113221951277,0.1950765650545833,3.2467827781212084,-0.1463824318436826,3.3020214059548696,-0.1335774024246183,4.91,3.31464044685258,-0.1251364167770505,4.059925635351641,-0.0448641847319981,2.7954503913830435,0.1773248978088202,61.33,61.2,58.27,62.03666666666667,1.3381454828729198,2.25,0.7374829622871878,0.0366867764552421
